Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","73","Georgia","2","Afghanistan","5910","Export Quantity","515","Apples","2017","2017","tonnes","44","","Official data"
"TM","Detailed trade matrix","73","Georgia","2","Afghanistan","5922","Export Value","515","Apples","2017","2017","1000 US$","20","","Official data"
"TM","Detailed trade matrix","73","Georgia","1","Armenia","5910","Export Quantity","515","Apples","2017","2017","tonnes","210","","Official data"
"TM","Detailed trade matrix","73","Georgia","1","Armenia","5922","Export Value","515","Apples","2017","2017","1000 US$","231","","Official data"
"TM","Detailed trade matrix","73","Georgia","52","Azerbaijan","5910","Export Quantity","515","Apples","2017","2017","tonnes","243","","Official data"
"TM","Detailed trade matrix","73","Georgia","52","Azerbaijan","5922","Export Value","515","Apples","2017","2017","1000 US$","67","","Official data"
"TM","Detailed trade matrix","73","Georgia","108","Kazakhstan","5910","Export Quantity","515","Apples","2017","2017","tonnes","101","","Official data"
"TM","Detailed trade matrix","73","Georgia","108","Kazakhstan","5922","Export Value","515","Apples","2017","2017","1000 US$","37","","Official data"
"TM","Detailed trade matrix","73","Georgia","165","Pakistan","5910","Export Quantity","515","Apples","2017","2017","tonnes","128","","Official data"
"TM","Detailed trade matrix","73","Georgia","165","Pakistan","5922","Export Value","515","Apples","2017","2017","1000 US$","58","","Official data"
"TM","Detailed trade matrix","73","Georgia","213","Turkmenistan","5910","Export Quantity","515","Apples","2017","2017","tonnes","893","","Official data"
"TM","Detailed trade matrix","73","Georgia","213","Turkmenistan","5922","Export Value","515","Apples","2017","2017","1000 US$","270","","Official data"
"TM","Detailed trade matrix","100","India","16","Bangladesh","5910","Export Quantity","515","Apples","2017","2017","tonnes","2524","","Official data"
"TM","Detailed trade matrix","100","India","16","Bangladesh","5922","Export Value","515","Apples","2017","2017","1000 US$","1322","","Official data"
"TM","Detailed trade matrix","100","India","118","Kuwait","5910","Export Quantity","515","Apples","2017","2017","tonnes","0","","Official data"
"TM","Detailed trade matrix","100","India","118","Kuwait","5922","Export Value","515","Apples","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","100","India","132","Maldives","5910","Export Quantity","515","Apples","2017","2017","tonnes","0","","Official data"
"TM","Detailed trade matrix","100","India","132","Maldives","5922","Export Value","515","Apples","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","100","India","149","Nepal","5910","Export Quantity","515","Apples","2017","2017","tonnes","4747","","Official data"
"TM","Detailed trade matrix","100","India","149","Nepal","5922","Export Value","515","Apples","2017","2017","1000 US$","2352","","Official data"
"TM","Detailed trade matrix","100","India","221","Oman","5910","Export Quantity","515","Apples","2017","2017","tonnes","1","","Official data"
"TM","Detailed trade matrix","100","India","221","Oman","5922","Export Value","515","Apples","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","100","India","179","Qatar","5910","Export Quantity","515","Apples","2017","2017","tonnes","1","","Official data"
"TM","Detailed trade matrix","100","India","179","Qatar","5922","Export Value","515","Apples","2017","2017","1000 US$","2","","Official data"
"TM","Detailed trade matrix","100","India","200","Singapore","5910","Export Quantity","515","Apples","2017","2017","tonnes","0","","Official data"
"TM","Detailed trade matrix","100","India","200","Singapore","5922","Export Value","515","Apples","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","100","India","38","Sri Lanka","5910","Export Quantity","515","Apples","2017","2017","tonnes","0","","Official data"
"TM","Detailed trade matrix","100","India","38","Sri Lanka","5922","Export Value","515","Apples","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","100","India","225","United Arab Emirates","5910","Export Quantity","515","Apples","2017","2017","tonnes","0","","Official data"
"TM","Detailed trade matrix","100","India","225","United Arab Emirates","5922","Export Value","515","Apples","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","101","Indonesia","132","Maldives","5910","Export Quantity","515","Apples","2017","2017","tonnes","0","","Official data"
"TM","Detailed trade matrix","101","Indonesia","132","Maldives","5922","Export Value","515","Apples","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","101","Indonesia","194","Saudi Arabia","5910","Export Quantity","515","Apples","2017","2017","tonnes","0","","Official data"
"TM","Detailed trade matrix","101","Indonesia","194","Saudi Arabia","5922","Export Value","515","Apples","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","2","Afghanistan","5910","Export Quantity","515","Apples","2017","2017","tonnes","181590","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","2","Afghanistan","5922","Export Value","515","Apples","2017","2017","1000 US$","77823","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","1","Armenia","5910","Export Quantity","515","Apples","2017","2017","tonnes","1872","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","1","Armenia","5922","Export Value","515","Apples","2017","2017","1000 US$","797","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","52","Azerbaijan","5910","Export Quantity","515","Apples","2017","2017","tonnes","369","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","52","Azerbaijan","5922","Export Value","515","Apples","2017","2017","1000 US$","172","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","13","Bahrain","5910","Export Quantity","515","Apples","2017","2017","tonnes","1652","","Official data"
